仕事,会社名,url,場所,給料形態,金額,契約形態,掲載元,掲載日,結果通知期限,電話番号
事務管理／新宿,株式会社オークス,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AA%E3%83%BC%E3%82%AF%E3%82%B9%E3%81%A7%E3%81%AE%E4%BA%8B%E5%8B%99%E7%AE%A1%E7%90%86%EF%BC%8F%E6%96%B0%E5%AE%BF%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E4%BB%A3%E3%80%85%E6%9C%A8%EF%BC%92%EF%BC%8D%EF%BC%94%EF%BC%8D%EF%BC%99%EF%BC%89-%2013070-10129421/,東京都渋谷区代々木２－４－９,月給,230000円-250000円,正社員,ハローワーク渋谷,2月10日,,03-3320-4880
不動産仕入れ営業,株式会社　フォーインクス,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%95%E3%82%A9%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%AF%E3%82%B9%E3%81%A7%E3%81%AE%E4%B8%8D%E5%8B%95%E7%94%A3%E4%BB%95%E5%85%A5%E3%82%8C%E5%96%B6%E6%A5%AD%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%8D%EF%BC%91%0A%E6%9C%9D%E6%97%A5%E7%94%9F%E5%91%BD%EF%BC%89-%2013070-10126821/,東京都渋谷区恵比寿１丁目３－１,月給,300000円,正社員,ハローワーク渋谷,2月10日,,03-3447-5544
営業職,株式会社リッシュパートナーズ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E3%82%BA%E3%81%A7%E3%81%AE%E5%96%B6%E6%A5%AD%E8%81%B7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D%EF%BC%96%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%99%EF%BC%8D%EF%BC%91%EF%BC%95%E3%80%80%E9%AB%98%E9%87%8E%EF%BC%89-%2013070-10125721/,東京都渋谷区神宮前６丁目１９－１５　高野第一ビル８階,月給,250000円-330000円,正社員,ハローワーク渋谷,2月10日,,03-6418-6460
学童児童館指導員補助（子どもふれあいルー,株式会社アソシエ・インターナショナル,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%82%BD%E3%82%B7%E3%82%A8%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%81%A7%E3%81%AE%E5%AD%A6%E7%AB%A5%E5%85%90%E7%AB%A5%E9%A4%A8%E6%8C%87%E5%B0%8E%E5%93%A1%E8%A3%9C%E5%8A%A9%EF%BC%88%E5%AD%90%E3%81%A9%E3%82%82%E3%81%B5%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%83%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%93%EF%BC%8D%EF%BC%93%EF%BC%8D%EF%BC%93%EF%BC%A6%EF%BC%89-%2013070-10122921/,東京都港区西麻布２－１３－３－３Ｆ,時給,1050円-1100円,パート労働者,ハローワーク渋谷,2月10日,,03-3711-3900
訪問入浴正看護師（正社員：東村山）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E6%AD%A3%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E6%9D%B1%E6%9D%91%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%E9%87%8E%E5%8F%A3%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%97%EF%BC%8D%EF%BC%92%EF%BC%89-%2013070-10048521/,東京都東村山市野口町１－１７－２,月給,296900円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴ヘルパー（パート：多摩）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%9A%E5%A4%9A%E6%91%A9%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E6%9D%BE%E6%9C%A8%EF%BC%93%EF%BC%92%E7%95%AA%EF%BC%91%EF%BC%97%E5%8F%B7%EF%BC%89-%2013070-10043121/,東京都八王子市松木３２番１７号,時給,1300円,パート労働者,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴ヘルパー（パート：台東）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%9A%E5%8F%B0%E6%9D%B1%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E8%94%B5%E5%89%8D%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%90%E7%95%AA%EF%BC%91%EF%BC%91%E5%8F%B7%EF%BC%89-%2013070-10040321/,東京都台東区蔵前４丁目２０番１１号,時給,1300円,パート労働者,ハローワーク渋谷,2月10日,,03-3377-5100
救命救急士,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E6%95%91%E5%91%BD%E6%95%91%E6%80%A5%E5%A3%AB%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%EF%BC%89-%2013070-10038221/,東京都世田谷区,月給,200000円-240000円,正社員,ハローワーク渋谷,2月10日,,
訪問入浴ヘルパー（パート：大田）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%9A%E5%A4%A7%E7%94%B0%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E5%A4%A7%E6%A3%AE%E5%8C%97%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%94%E7%95%AA%EF%BC%92%EF%BC%98%E5%8F%B7%EF%BC%89-%2013070-10037821/,東京都大田区大森北４丁目１４番２８号,時給,1300円,パート労働者,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴ヘルパー（パート：町田）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%9A%E7%94%BA%E7%94%B0%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%94%BA%E7%94%B0%E5%B8%82%E6%A3%AE%E9%87%8E%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%90%E7%95%AA%EF%BC%95%E5%8F%B7%EF%BC%89-%2013070-10034121/,東京都町田市森野３丁目２０番５号,時給,1300円,パート労働者,ハローワーク渋谷,2月10日,,03-3377-5100
訪問看護職／克歩　世田谷,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E8%81%B7%EF%BC%8F%E5%85%8B%E6%AD%A9%E3%80%80%E4%B8%96%E7%94%B0%E8%B0%B7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%EF%BC%89-%2013070-10031321/,東京都世田谷区,月給,285000円-405000円,正社員,ハローワーク渋谷,2月10日,,
訪問入浴准看護師（正社員：大田）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E5%A4%A7%E7%94%B0%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E5%A4%A7%E6%A3%AE%E5%8C%97%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%94%E7%95%AA%EF%BC%92%EF%BC%98%E5%8F%B7%EF%BC%89-%2013070-10030421/,東京都大田区大森北４丁目１４番２８号,月給,275700円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴ヘルパー（パート：東村山）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%9A%E6%9D%B1%E6%9D%91%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%E9%87%8E%E5%8F%A3%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%97%EF%BC%8D%EF%BC%92%EF%BC%89-%2013070-10029821/,東京都東村山市野口町１－１７－２,時給,1300円,パート労働者,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴正看護師（正社員：大田）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E6%AD%A3%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E5%A4%A7%E7%94%B0%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E5%A4%A7%E6%A3%AE%E5%8C%97%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%94%E7%95%AA%EF%BC%92%EF%BC%98%E5%8F%B7%EF%BC%89-%2013070-10026121/,東京都大田区大森北４丁目１４番２８号,月給,296900円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
板橋区公共施設での常駐設備スタッフ／板橋,株式会社東急コミュニティー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%9D%B1%E6%80%A5%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%83%BC%E3%81%A7%E3%81%AE%E6%9D%BF%E6%A9%8B%E5%8C%BA%E5%85%AC%E5%85%B1%E6%96%BD%E8%A8%AD%E3%81%A7%E3%81%AE%E5%B8%B8%E9%A7%90%E8%A8%AD%E5%82%99%E3%82%B9%E3%82%BF%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%BF%E6%A9%8B%E5%8C%BA%E5%B8%B8%E7%9B%A4%E5%8F%B0%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%89-%2013070-10023321/,東京都板橋区常盤台４－１４－１,月給,224000円,正社員,ハローワーク渋谷,2月10日,,03-5717-1022
訪問入浴准看護師（正社員：王子神谷）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E7%8E%8B%E5%AD%90%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E7%8E%8B%E5%AD%90%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%97%E7%95%AA%E5%9C%B0%EF%BC%92%EF%BC%92%E5%8F%B7%EF%BC%89-%2013070-10022421/,東京都北区王子５丁目１７番地２２号,月給,275700円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴正看護師（正社員：王子神谷）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E6%AD%A3%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E7%8E%8B%E5%AD%90%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E7%8E%8B%E5%AD%90%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%97%E7%95%AA%E5%9C%B0%EF%BC%92%EF%BC%92%E5%8F%B7%EF%BC%89-%2013070-10024621/,東京都北区王子５丁目１７番地２２号,月給,296900円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
すぐ働けます！／清掃（マンション）／緑が,株式会社ファイヴエーカンパニー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B4%E3%82%A8%E3%83%BC%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%E3%81%A7%E3%81%AE%E3%81%99%E3%81%90%E5%83%8D%E3%81%91%E3%81%BE%E3%81%99%EF%BC%81%EF%BC%8F%E6%B8%85%E6%8E%83%EF%BC%88%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%A5%A5%E6%B2%A2%EF%BC%92%EF%BC%8D%EF%BC%92%EF%BC%8D%EF%BC%92%EF%BC%95%EF%BC%89-%2013070-10021521/,東京都世田谷区奥沢２－２－２５,時給,1200円,パート労働者,ハローワーク渋谷,2月10日,,03-5355-0453
訪問入浴准看護師（正社員：足立）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E8%B6%B3%E7%AB%8B%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%B9%E3%81%AE%E5%A1%9A%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%92%E7%95%AA%EF%BC%96%E5%8F%B7%EF%BC%89-%2013070-10020221/,東京都足立区竹の塚４丁目１２番６号,月給,275700円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
訪問入浴正看護師（正社員：足立）,アースサポート株式会社,https://www.hellowork.careers/%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E5%85%A5%E6%B5%B4%E6%AD%A3%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E6%AD%A3%E7%A4%BE%E5%93%A1%EF%BC%9A%E8%B6%B3%E7%AB%8B%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%B9%E3%81%AE%E5%A1%9A%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%92%E7%95%AA%EF%BC%96%E5%8F%B7%EF%BC%89-%2013070-10019021/,東京都足立区竹の塚４丁目１２番６号,月給,296900円,正社員,ハローワーク渋谷,2月10日,,03-3377-5100
清掃（マンション）／国分寺／すぐに始めら,株式会社ファイヴエーカンパニー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B4%E3%82%A8%E3%83%BC%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%E3%81%A7%E3%81%AE%E6%B8%85%E6%8E%83%EF%BC%88%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%EF%BC%89%EF%BC%8F%E5%9B%BD%E5%88%86%E5%AF%BA%EF%BC%8F%E3%81%99%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%E5%8D%97%E7%94%BA%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%98%EF%BC%8D%EF%BC%97%EF%BC%89-%2013070-10016621/,東京都国分寺市南町３－１８－７,時給,1100円,パート労働者,ハローワーク渋谷,2月10日,,03-5355-0453
不動産営業,株式会社工藤住販,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%B7%A5%E8%97%A4%E4%BD%8F%E8%B2%A9%E3%81%A7%E3%81%AE%E4%B8%8D%E5%8B%95%E7%94%A3%E5%96%B6%E6%A5%AD%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E6%9D%BE%E5%8E%9F%EF%BC%92%EF%BC%8D%EF%BC%94%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%89-%2013070-10009921/,東京都世田谷区松原２－４１－１１,月給,240000円-300000円,正社員,ハローワーク渋谷,2月10日,,03-3327-6000
すぐ働けます！／清掃（マンション）／奥沢,株式会社ファイヴエーカンパニー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B4%E3%82%A8%E3%83%BC%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%E3%81%A7%E3%81%AE%E3%81%99%E3%81%90%E5%83%8D%E3%81%91%E3%81%BE%E3%81%99%EF%BC%81%EF%BC%8F%E6%B8%85%E6%8E%83%EF%BC%88%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%A5%A5%E6%B2%A2%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%94%EF%BC%8D%EF%BC%93%EF%BC%89-%2013070-10011821/,東京都世田谷区奥沢２－１４－３,時給,1200円,パート労働者,ハローワーク渋谷,2月10日,,03-5355-0453
キッチン、ホール,株式会社ＷＡＴ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%B7%EF%BC%A1%EF%BC%B4%E3%81%A7%E3%81%AE%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%80%81%E3%83%9B%E3%83%BC%E3%83%AB%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%99%8E%E3%83%8E%E9%96%80%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%97%EF%BC%8D%EF%BC%91%E8%99%8E%E3%83%8E%E9%96%80%E3%83%92%E3%83%AB%E3%82%BA%EF%BC%89-%2013070-10118221/,東京都港区虎ノ門１－１７－１虎ノ門ヒルズビジネスタワーＢ１Ｆ,時給,1041円,パート労働者,ハローワーク渋谷,2月10日,,03-6268-8630
